                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.60795,                0.76469,                0.91463,                0.96561,                0.98461,                  0.995,                0.89308,                0.47899,                0.35072,                0.84393,             0.00012128,             0.00012128,             0.00012128
                    134,                0.58095,                0.75258,                0.88607,                0.97083,                0.97193,                  0.995,                0.89791,                0.47184,                0.34617,                0.83974,             0.00011958,             0.00011958,             0.00011958
                    135,                0.59095,                0.74905,                0.90211,                0.95549,                0.98914,                  0.995,                0.88573,                0.46079,                0.34204,                0.84044,             0.00011787,             0.00011787,             0.00011787
                    136,                0.61469,                0.76308,                0.91916,                 0.9513,                0.99209,                  0.995,                0.88647,                0.45973,                0.35138,                0.83939,             0.00011616,             0.00011616,             0.00011616
                    137,                0.54829,                   0.73,                0.88716,                0.93632,                0.99435,                  0.995,                0.88075,                 0.4691,                0.36578,                0.84182,             0.00011445,             0.00011445,             0.00011445
                    138,                0.55634,                0.71945,                0.88037,                0.94525,                0.99147,                  0.995,                0.87631,                0.48877,                 0.3616,                0.84546,             0.00011275,             0.00011275,             0.00011275
                    139,                0.54341,                 0.7533,                0.91019,                0.95318,                 0.9875,                  0.995,                0.88201,                0.47068,                0.35518,                0.83655,             0.00011104,             0.00011104,             0.00011104
                    140,                0.58484,                0.73195,                0.90412,                0.95767,                0.98733,                  0.995,                0.88087,                 0.4581,                0.34597,                0.83149,             0.00010933,             0.00010933,             0.00010933
                    141,                0.56762,                 0.7444,                0.89276,                0.90394,                      1,                  0.995,                0.88268,                0.47543,                0.34498,                 0.8335,             0.00010762,             0.00010762,             0.00010762
                    142,                0.57329,                0.71188,                 0.8949,                0.88711,                      1,                  0.995,                0.88944,                0.46218,                0.34516,                0.83292,             0.00010592,             0.00010592,             0.00010592
                    143,                0.56581,                0.73099,                0.89606,                0.92157,                      1,                  0.995,                0.89646,                0.46119,                0.35355,                0.83315,             0.00010421,             0.00010421,             0.00010421
                    144,                0.56936,                0.72634,                0.88678,                0.93575,                0.99536,                  0.995,                0.90616,                0.43882,                0.34585,                0.83039,              0.0001025,              0.0001025,              0.0001025
